SOS_MEMORY_USAGE_ADJUSTMENT,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_SOSHOST,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_SOSTESTING,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_STRESSDRIVER,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_PAGEHEAP,0,0,Baseline,2025-07-24 01:14:55.000
SOS_SMALL_PAGE_ALLOC,0,0,Baseline,2025-07-24 01:14:55.000
DISPATCHER_PRIORITY_QUEUE_SEMAPHORE,0,0,Baseline,2025-07-24 01:14:55.000
RESOURCE_GOVERNOR_IDLE,0,0,Baseline,2025-07-24 01:14:55.000
LOG_RATE_GOVERNOR,0,0,Baseline,2025-07-24 01:14:55.000
POOL_LOG_RATE_GOVERNOR,0,0,Baseline,2025-07-24 01:14:55.000
SLEEP_MEMORYPOOL_ALLOCATEPAGES,9,0,Baseline,2025-07-24 01:14:55.000
SLEEP_WORKSPACE_ALLOCATEPAGE,0,0,Baseline,2025-07-24 01:14:55.000
SLEEP_RETRY_VIRTUALALLOC,0,0,Baseline,2025-07-24 01:14:55.000
MEMORY_ALLOCATION_EXT,3766604,368956,Baseline,2025-07-24 01:14:55.000
WAIT_SLEEP_LOWMEM_GUARD,0,0,Baseline,2025-07-24 01:14:55.000
RESERVED_MEMORY_ALLOCATION_EXT,42436,611,Baseline,2025-07-24 01:14:55.000
IO_QUEUE_LIMIT,0,0,Baseline,2025-07-24 01:14:55.000
SESSION_WAIT_STATS_CHILDREN,138,254,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_XE_DISPATCHER,1,0,Baseline,2025-07-24 01:14:55.000
XE_BUFFERMGR_ALLPROCESSED_EVENT,247,289,Baseline,2025-07-24 01:14:55.000
XE_BUFFERMGR_FREEBUF_EVENT,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_XE_CALLBACKEXECUTE,41147066,131110,Baseline,2025-07-24 01:14:55.000
XE_SESSION_CREATE_SYNC,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_XE_GETTARGETSTATE,1394,20079,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_XE_ENGINEINIT,0,0,Baseline,2025-07-24 01:14:55.000
XE_CALLBACK_LIST,0,0,Baseline,2025-07-24 01:14:55.000
XE_OLS_LOCK,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_XE_PROXY_ADDSESSION,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_XE_PROXY_REMOVESESSION,0,0,Baseline,2025-07-24 01:14:55.000
PREEMPTIVE_XE_PROXY_PROCESSBUFFER,0,0,Baseline,2025-07-24 01:14:55.000
